year,code,english_title,polish_title,vietnamese_title,statement_source,solution_source,status
2011,ary,Arithmetic Rectangle,Prostokąt arytmetyczny,Hình chữ nhật cấp số cộng,EN,EN,translated
2011,baj,Bytean Road Race,Bajtocki Bieg Uliczny,Cuộc đua đường phố Bytean,EN,EN,translated
2011,czy,Will It Stop?,Czy się zatrzyma?,Liệu nó có dừng?,EN,EN,translated
2011,drz,Ants,Drzewo i mrówki,Cây và đàn kiến,EN,EN,translated
2011,eks,Gophers,Eksterminacja świstaków,Diệt sóc đất,EN,EN,translated
2011,fra,Laundry,Frania,Máy giặt,EN,EN,translated
2011,gen,Bits Generator,Generator bitów,Bộ sinh bit,EN,EN,translated
2011,her,Afternoon Tea,Herbata z mlekiem,Trà chiều,EN,EN,translated
2011,ilo,Intelligence Quotient,Iloraz inteligencji,Chỉ số thông minh,EN,EN,translated
2011,jas,Cave,Jaskinia,Hang động,EN,EN,translated
2011,krz,Cross Spider,Krzyżak,Nhện chữ thập,EN,EN,translated
2012,aut,Vending Machine,Automat,Máy bán hàng tự động,EN,PL,translated
2012,biu,Bus Trip,Biuro podróży,Chuyến xe buýt,EN,PL,translated
2012,cia,Sequence,Ciąg,Dãy số,EN,PL,translated
2012,dna,DNA,DNA,DNA,EN,PL,translated
2012,ewa,Evaluation of an Expression,Ewaluacja,Tính giá trị biểu thức,EN,PL,translated
2012,for,Formula One,Formuła 1,Công thức 1,EN,PL,translated
2012,gen,Save the Dinosaurs,Generał kontra gawiedź,Cứu khủng long,EN,PL,translated
2012,hyd,Hydra,Hydra,Hydra,EN,PL,translated
2012,inw,Inversions,Inwersje,Nghịch thế,EN,PL,translated
2012,jut,Do It Tomorrow,Jutro,Để mai làm,EN,PL,translated
2012,kro,Rabbits,Króliki,Thỏ,EN,PL,translated
2013,aut,The Motorway,Autostrada,Đường cao tốc,EN,PL,translated
2013,baj,Bytehattan,Bajthattan,Bytehattan,EN,PL,translated
2013,cie,The Carpenter,Cieśla,Thợ mộc,EN,PL,translated
2013,dem,Demonstrations,Demonstracje,Biểu tình,EN,PL,translated
2013,egz,The Exam,Egzamin,Kỳ thi,EN,PL,translated
2013,fot,Speed Cameras,Fotoradary,Máy bắn tốc độ,EN,PL,translated
2013,gra,Marbles,Gra w kulki,Trò chơi bi,EN,PL,translated
2013,her,The Hero,Heros,Người hùng,EN,PL,translated
2013,inz,Genetic Engineering,Inżynieria genetyczna,Kỹ thuật di truyền,EN,PL,translated
2013,jan,Janošík,Janosik,Janošík,EN,PL,translated
2013,koc,Blankets,Kocyki,Chăn,EN,PL,translated
2014,adw,The Lawyer,Adwokat,Luật sư,EN,PL,translated
2014,ben,Petrol,Benzyna,Xăng,EN,PL,translated
2014,cen,The Prices,Ceny,Giá cả,EN,PL,translated
2014,dzi,Divisors,Dzielniki,Ước số,EN,PL,translated
2014,euk,Euclidean Nim,Euklidesowy Nim,Nim Euclid,EN,PL,translated
2014,fil,Pillars,Filary,Cột trụ,EN,PL,translated
2014,glo,Global Warming,Globalne ocieplenie,Nóng lên toàn cầu,EN,PL,translated
2014,hit,Hit of the Season,Hit sezonu,Bản hit của mùa,EN,PL,translated
2014,ins,The Staging,Inscenizacja,Dàn dựng,EN,PL,translated
2014,jas,The Cave,Jaskinia,Hang động,EN,PL,translated
2014,kap,The Captain,Kapitan,Thuyền trưởng,EN,PL,translated
